year,female,male
1896,2,241
1900,40,2125
1904,6,1358
1908,54,2369
1912,62,2814
1920,106,2773
1924,170,3800
1928,357,3471
1932,205,1850
1936,384,4696
1948,468,4384
1952,552,4992
1956,376,3014
1960,638,4959
1964,706,4716
1968,823,5018
1972,1119,6273
1976,1308,4912
1980,1164,4219
1984,1658,5551
1988,2395,6659
1992,2823,7052
1996,3584,6946
2000,4144,6688
2004,4414,6413
2008,4762,6476
2012,4776,5992
2016,5137,6269
2020,5539,6040
2024,5503,5712
